Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Chisholm,Friday,1,Fishing,1,999,10,2
Chisholm,Friday,2,Reflection,1,999,10,2
Chisholm,Friday,3,Trading Post,1,999,10,2
Chisholm,Monday,1,Dr. DNA,1,999,10,2
Chisholm,Monday,2,9 Square,1,2,10,2
Chisholm,Monday,3,Chopped!,1,4,10,2
Chisholm,Thursday,1,Super Troop,1,999,10,2
Chisholm,Thursday,2,Aqua Trampoline,1,3,10,2
Chisholm,Tuesday,1,Water Polo,1,6,10,2
Chisholm,Tuesday,2,Troop Shotgun,1,5,10,2
Chisholm,Tuesday,3,Delta,1,10,10,2
Chisholm,Wednesday,1,Climbing Tower,1,7,10,2
Chisholm,Wednesday,2,Gaga Ball,1,0,10,2
Chisholm,Wednesday,3,Greased Watermelon,1,1,10,2
Ely,Friday,1,Reflection,1,999,12,3
Ely,Friday,2,Fishing,1,13,12,3
Ely,Friday,3,Gaga Ball,1,11,12,3
Ely,Monday,1,Tie Dye,1,4,12,3
Ely,Monday,2,Delta,1,0,12,3
Ely,Monday,3,Troop Canoe,1,8,12,3
Ely,Thursday,1,Troop Shotgun,1,9,12,3
Ely,Thursday,2,Super Troop,1,999,12,3
Ely,Tuesday,1,Campsite Free Time,1,999,12,3
Ely,Tuesday,3,Shower House,1,2,12,3
Ely,Tuesday,3,Float for Floats,2,3,12,3
Ely,Wednesday,1,What's Cooking,1,5,12,3
Ely,Wednesday,2,Trading Post,1,1,12,3
Ely,Wednesday,3,9 Square,1,999,12,3
Fond Du Lac,Friday,1,Aqua Trampoline,1,0,8,2
Fond Du Lac,Friday,2,Trading Post,1,2,8,2
Fond Du Lac,Friday,3,Reflection,1,999,8,2
Fond Du Lac,Monday,1,Super Troop,1,999,8,2
Fond Du Lac,Monday,2,What's Cooking,1,3,8,2
Fond Du Lac,Monday,3,Gaga Ball,1,999,8,2
Fond Du Lac,Thursday,1,Water Polo,1,999,8,2
Fond Du Lac,Thursday,2,9 Square,1,999,8,2
Fond Du Lac,Tuesday,1,Dr. DNA,1,999,8,2
Fond Du Lac,Tuesday,2,Climbing Tower,1,5,8,2
Fond Du Lac,Tuesday,3,Archery,1,4,8,2
Fond Du Lac,Wednesday,1,Campsite Free Time,1,999,8,2
Fond Du Lac,Wednesday,2,Fishing,1,999,8,2
Fond Du Lac,Wednesday,3,Itasca State Park,3,1,8,2
Ft. Francis,Friday,1,Super Troop,1,999,9,2
Ft. Francis,Friday,2,Reflection,1,999,9,2
Ft. Francis,Friday,3,Greased Watermelon,1,999,9,2
Ft. Francis,Monday,1,Tamarac Wildlife Refuge,3,0,9,2
Ft. Francis,Thursday,1,Sauna,1,9,9,2
Ft. Francis,Thursday,2,Troop Rifle,1,8,9,2
Ft. Francis,Tuesday,1,History Center,1,2,9,2
Ft. Francis,Tuesday,2,Loon Lore,1,3,9,2
Ft. Francis,Tuesday,3,9 Square,1,4,9,2
Ft. Francis,Wednesday,1,Campsite Free Time,1,7,9,2
Ft. Francis,Wednesday,2,Delta,1,11,9,2
Ft. Francis,Wednesday,3,Troop Swim,1,10,9,2
Ft. William,Friday,1,Aqua Trampoline,1,0,12,3
Ft. William,Friday,2,Delta,1,1,12,3
Ft. William,Friday,3,Reflection,1,999,12,3
Ft. William,Monday,1,Troop Shotgun,1,3,12,3
Ft. William,Monday,2,Gaga Ball,1,5,12,3
Ft. William,Monday,3,Greased Watermelon,1,2,12,3
