Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Reflection,1,999,13,4
Black Hawk,Friday,2,Archery,1,3,13,4
Black Hawk,Friday,3,Greased Watermelon,1,2,13,4
Black Hawk,Monday,1,Climbing Tower,1,4,13,4
Black Hawk,Monday,2,Delta,1,9,13,4
Black Hawk,Monday,3,Gaga Ball,1,5,13,4
Black Hawk,Thursday,1,Water Polo,1,6,13,4
Black Hawk,Thursday,2,Troop Canoe,1,10,13,4
Black Hawk,Tuesday,1,Aqua Trampoline,1,0,13,4
Black Hawk,Tuesday,2,Super Troop,1,999,13,4
Black Hawk,Tuesday,3,Disc Golf,1,7,13,4
Black Hawk,Wednesday,1,Sailing,1.5,1,13,4
Black Hawk,Wednesday,3,Campsite Free Time,1,14,13,4
Cochise,Friday,1,Fishing,1,999,8,4
Cochise,Friday,2,Gaga Ball,1,999,8,4
Cochise,Friday,3,Reflection,1,999,8,4
Cochise,Monday,1,Troop Shotgun,1,1,8,4
Cochise,Monday,2,Sauna,1,6,8,4
Cochise,Monday,3,Greased Watermelon,1,0,8,4
Cochise,Thursday,1,Climbing Tower,1,8,8,4
Cochise,Thursday,2,9 Square,1,12,8,4
Cochise,Tuesday,1,Disc Golf,1,2,8,4
Cochise,Tuesday,2,GPS & Geocaching,1,10,8,4
Cochise,Tuesday,3,Troop Rifle,1,7,8,4
Cochise,Wednesday,1,Troop Canoe,1,5,8,4
Cochise,Wednesday,2,Super Troop,1,999,8,4
Cochise,Wednesday,3,Archery,1,4,8,4
Joseph,Friday,1,Archery,1,12,7,2
Joseph,Friday,2,Reflection,1,999,7,2
Joseph,Friday,3,Super Troop,1,999,7,2
Joseph,Monday,1,GPS & Geocaching,1,2,7,2
Joseph,Monday,2,Fishing,1,0,7,2
Joseph,Monday,3,Climbing Tower,1,6,7,2
Joseph,Thursday,1,Aqua Trampoline,1,13,7,2
Joseph,Thursday,2,Trading Post,1,4,7,2
Joseph,Tuesday,1,Knots and Lashings,1,3,7,2
Joseph,Tuesday,2,Campsite Free Time,1,5,7,2
Joseph,Tuesday,3,Troop Swim,1,1,7,2
Joseph,Wednesday,1,Monkey's Fist,1,7,7,2
Joseph,Wednesday,2,Orienteering,1,9,7,2
Joseph,Wednesday,3,Hemp Craft,1,11,7,2
Massasoit,Friday,1,Aqua Trampoline,1,0,12,3
Massasoit,Friday,2,Reflection,1,999,12,3
Massasoit,Friday,3,Troop Shotgun,1,8,12,3
Massasoit,Monday,1,Sailing,1.5,2,12,3
Massasoit,Monday,3,Campsite Free Time,1,16,12,3
Massasoit,Thursday,1,9 Square,1,999,12,3
Massasoit,Thursday,2,Water Polo,1,4,12,3
Massasoit,Tuesday,1,Gaga Ball,1,12,12,3
Massasoit,Tuesday,2,Disc Golf,1,11,12,3
Massasoit,Tuesday,3,Super Troop,1,999,12,3
Massasoit,Wednesday,1,Greased Watermelon,1,1,12,3
Massasoit,Wednesday,2,Delta,1,7,12,3
Massasoit,Wednesday,3,Shower House,1,3,12,3
Pontiac,Friday,1,Troop Swim,1,14,7,1
